id,fonte,titulo,empresa,descricao,requisitos,senioridade,area,remoto,fit_percentual,url,data_coleta,origem_coleta
94,Adzuna,Telemarketing / Call Center,Lemes Rio,"ATENDIMENTO AO CLIENTE; VENDAS POR TELEFONE; INFORMAÇÕES CADASTRAIS. PRECISA POSSUIR O ENSINO MÉDIO COMPLETO; GOSTAR DE TRABALHAR EM EQUIPE. Tipo de vaga: Tempo Integral, Efetivo/CLT Pagamento: R$1.412,00 por mês Benefícios: - Assistência médica - Vale-refeição - Vale-transporte Horário de trabalho: - De segunda à sexta-feira Tipos de pagamento adicional: - 13º salário - Bônus - Hora extra Escolaridade: - Ensino Médio completo (obrigatório) Experiência: - Vendas (obrigatório)",,Não identificado,Fora de Area,Não identificado,10,https://www.adzuna.com.br/details/5803827744?utm_medium=api&utm_source=17cb7e5a,2026-07-16,API Adzuna
95,Adzuna,Telemarketing / Call Center,Valor Potencial,"O(a) profissional será responsável por atender o cliente de forma receptiva e ativa, fornecendo informações, solucionando dúvidas e agendando exames e consultas. Buscamos alguém comprometido em encontrar alternativas de maneira rápida e eficiente. Pré-requisitos: Ensino médio completo; Experiência na função; Ter boa comunicação oral e escrita; Habilidades Ter jogo de cintura para lidar com clientes de diversos perfis; Ser um bom ouvinte para entender as demandas; Ter ampla visão para pensar em …",,Não identificado,Fora de Area,Não identificado,10,https://www.adzuna.com.br/details/5803892075?utm_medium=api&utm_source=17cb7e5a,2026-07-16,API Adzuna
96,Adzuna,Telemarketing / Call Center,POTIGUAR CONSORCIOS,"PRIORIDADE PARA PRIMEIRO EMPREGO. RESIDENTE EM NATAL SALÁRIO  COMISSÃO COM OU SEM EXPERIENCIA BOA COMUNICAÇÃO, GOSTE DE TRABALHAR POR META PRIORIDADE PARA PRIMEIRO EMPREGO - TREINAMENTO DE VENDAS - __________ DEIXE SEU CURRICULO COM FOTO NO EMAIL OU WPP CURRICULO ATUALIZADO Tipo de vaga: Efetivo CLT Salário: R$1.412,00 - R$2.520,10 por mês Benefícios: - Estacionamento gratuito - Participação nos lucros Horário de trabalho: - De segunda à sexta-feira - Dias úteis e feriados - Turno de 8 horas Ti…",,Não identificado,Fora de Area,Não identificado,10,https://www.adzuna.com.br/details/5803870124?utm_medium=api&utm_source=17cb7e5a,2026-07-16,API Adzuna
97,Adzuna,Telemarketing,Folha de S.Paulo,"Teleoperador de vendas ou cobrança Pré-requisitos - Ensino médio completo - Noções básicas de informática (excel/word/outlook) - Experiência prévia em Ativo de Vendas ou Cobrança Benefício - VTVR - Cesta básica / Assistência Médica / Auxílio-creche para mães - Day off - WellHub - Modelo de trabalho híbrido Local de trabalho: Campos Elíseos, próximo ao metrô Santa Cecília",,Não identificado,Fora de Area,Híbrido,10,https://www.adzuna.com.br/land/ad/5783422004?se=KAGszmmB8RGnGfZ-Vm2jGw&utm_medium=api&utm_source=17cb7e5a&v=A4B9985599E9C43E7B1355031A6FD4ABB6A610DF,2026-07-16,API Adzuna
98,Adzuna,Operadora de Telemarketing | Call Center,Danny Cosméticos,"Se você gosta de conversar, encantar clientes e deseja crescer profissionalmente na área de atendimento e vendas, a vaga de Operadora de Telemarketing é ideal para você. Você fará parte de uma equipe focada em oferecer um atendimento humano, ágil e eficiente, representando uma empresa sólida e em expansão. Aqui, você terá treinamento, acompanhamento próximo e espaço para desenvolver sua carreira em atendimento e vendas. Realizar atendimento telefônico aos clientes com cordialidade, empatia e fo…",,Não identificado,Fora de Area,Não identificado,10,https://www.adzuna.com.br/details/5584677366?utm_medium=api&utm_source=17cb7e5a,2026-07-16,API Adzuna
99,Adzuna,Operador De Telemarketing - Call Center,Clinica Dimeg,"Área e especialização profissional: Telemarketing - SAC Nível hierárquico: Operacional Número de vagas: 8 Local de trabalho: Osasco, SP Regime de contratação de tipo Efetivo – CLT Jornada Período Integral Principais responsabilidades: Realizar atendimento telefônico receptivo aos pacientes; Efetuar agendamentos de exames e consultas; Esclarecer dúvidas sobre preparos, convênios e procedimentos realizados pela clínica; Atualizar cadastros e registrar informações em sistema; Realizar contatos ati…",,Não identificado,Fora de Area,Não identificado,10,https://www.adzuna.com.br/details/5759858624?utm_medium=api&utm_source=17cb7e5a,2026-07-16,API Adzuna
100,Adzuna,Analista Suporte (TI),ROCA BRASIL,"Você está em busca de uma oportunidade para trabalhar em ambientes inspiradores? Estamos com oportunidade na posição de Analista de Suporte Jr (TI) para se juntar à nossa equipe e trabalhar em uma empresa certificada como Lugares Mais Incríveis para Trabalhar 2025 e GPTW, oferecendo uma experiência única e gratificante. Descritivo da Vaga: Estamos em busca de um(a) profissional para atuar com suporte técnico presencial aos usuários, manutenção de equipamentos e apoio à infraestrutura de TI. Req…",,Júnior,Fora de Area,Não,15,https://www.adzuna.com.br/details/5760246826?utm_medium=api&utm_source=17cb7e5a,2026-07-16,API Adzuna
101,Adzuna,Analista Suporte Ti Pl,ABB,"At ABB, we help industries outrun - leaner and cleaner. Here, progress is an expectation - for you, your team, and the world. As a global market leader, we’ll give you what you need to make it happen. It won’t always be easy, growing takes grit. But at ABB, you’ll never run alone. Run what runs the world. This Position reports to: IS Service Manager Você é apaixonado por tecnologia e quer fazer parte de uma empresa global que lidera em inovação? A ABB está em busca de um(a) Analista Suporte TI …",,Não identificado,Fora de Area,Não identificado,15,https://www.adzuna.com.br/details/5800278003?utm_medium=api&utm_source=17cb7e5a,2026-07-16,API Adzuna
102,Adzuna,Analista Suporte Ti Jr,UP,"Description Olá, somos a Cruzeiro do Sul Educacional! ⭐ Nós acreditamos no poder de transformação de vidas por meio da educação de qualidade e excelência! Aqui, nós buscamos conectar diferentes pessoas para que possam construir um mundo melhor a partir da educação, com muito trabalho, respeito e dedicação, proporcionando a melhor experiência e apoiando a jornada do conhecimento de mais de 500 mil alunos. A Cruzeiro do Sul Educacional S/A é um dos maiores e mais representativos grupos de educaçã…",,Júnior,Fora de Area,Não identificado,15,https://www.adzuna.com.br/details/5780527295?utm_medium=api&utm_source=17cb7e5a,2026-07-16,API Adzuna
103,Adzuna,Analista Suporte TI Jr,Vivo Vita,"Description Na Vivo Vita somos especialistas em tecnologia, infraestrutura de rede e cibersegurança e temos um propósito claro: impulsionar a transformação digital com inteligência, segurança e inovação. Aqui transformamos estratégia em impacto. Criamos soluções que otimizam processos, fortalecem a resiliência das operações e constroem ambientes digitais mais seguros. Acreditamos que o futuro é feito por pessoas. Por isso buscamos talentos que queiram aprender, evoluir e cocriar conosco em um a…",,Júnior,Fora de Area,Não identificado,15,https://www.adzuna.com.br/details/5794765311?utm_medium=api&utm_source=17cb7e5a,2026-07-16,API Adzuna
